iter	RMSE
0	0.2830033386
1	0.211998575
2	0.1706589534
3	0.146693073
4	0.1304596998
5	0.1189117776
6	0.1117636034
7	0.1041059782
8	0.09885580906
9	0.09412150114
10	0.09046177395
11	0.0859050943
12	0.08097966299
13	0.07705633795
14	0.07250468361
15	0.06841728237
16	0.06588782707
17	0.06324962358
18	0.06120756318
19	0.05900519303
20	0.05461716252
21	0.0531105784
22	0.04954197036
23	0.04716437392
24	0.04498522617
25	0.04301690793
26	0.04059975464
27	0.03893030173
28	0.03746870137
29	0.03576777189
30	0.03381318815
31	0.03229754943
32	0.03146534476
33	0.03026334954
34	0.02930656265
35	0.02815420719
36	0.02692861631
37	0.02629335333
38	0.02551392318
39	0.02396915773
40	0.02370611157
41	0.02322419567
42	0.02165538552
43	0.02139642726
44	0.02001936163
45	0.01885648863
46	0.01812354782
47	0.01739423812
48	0.01664689592
49	0.01571080204
50	0.01483576771
51	0.01461956209
52	0.01400700009
53	0.01328350014
54	0.01321802451
55	0.01283950931
56	0.01206638087
57	0.01203498084
58	0.01144529822
59	0.01093580361
60	0.01060898007
61	0.01033995993
62	0.009962268171
63	0.009703140078
64	0.009532413973
65	0.00951848154
66	0.008967151889
67	0.008476749668
68	0.00797836103
69	0.007958930432
70	0.007533396702
71	0.007122709311
72	0.006890102292
73	0.006533784389
74	0.006507639673
75	0.00615375204
76	0.005857114871
77	0.005516885178
78	0.005508950772
79	0.005289847401
80	0.005212511923
81	0.005184219307
82	0.004951299173
83	0.004789748868
84	0.004634228175
85	0.004412095684
86	0.004226457976
87	0.004046042591
88	0.003901361666
89	0.003787334188
90	0.00357388872
91	0.00348461015
92	0.003351483148
93	0.003196761476
94	0.003099353943
95	0.0029305832
96	0.002853954776
97	0.002670428639
98	0.002638784776
99	0.002561150661
100	0.002457440538
101	0.002368562658
102	0.002301425984
103	0.002209204963
104	0.002120142804
105	0.002066458657
106	0.002008799137
107	0.001920327398
108	0.001862324913
109	0.001816556696
110	0.001741981958
111	0.001701240166
112	0.001617644046
113	0.001545751345
114	0.001480797282
115	0.001440329997
116	0.001386781127
117	0.001362937525
118	0.001326219514
119	0.001261342275
120	0.001201548312
121	0.00115167924
122	0.001129252687
123	0.001073364402
124	0.001055895662
125	0.001022587343
126	0.001005846765
127	0.0009905999887
128	0.0009785245411
129	0.0009360727097
130	0.0009015941483
131	0.0008996759979
132	0.0008585190833
133	0.0008320256977
134	0.0008038949468
135	0.0007903668367
136	0.0007369887874
137	0.0007209277138
138	0.0006951260763
139	0.0006810377685
140	0.0006623550432
141	0.0006454704401
142	0.0006413582534
143	0.000623933099
144	0.0005913567784
145	0.0005898430874
146	0.000588456187
147	0.0005672762969
148	0.0005521696777
149	0.0005137006946
150	0.0004932393426
151	0.0004771578535
152	0.0004669575555
153	0.0004419024451
154	0.0004412120088
155	0.0004362600551
